StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
SHEPHERD ST NE,38.93966427852619,-76.98709084440871,SHEPHERD ST NE,38.93966181012743,-76.99097650103161,0.9
SHEPHERD ST NE,38.93966181012743,-76.99097650103161,SHERIDAN ST NE,38.96642414954835,-77.00618268941761,9747.41
SHERIDAN ST NE,38.96642414954835,-77.00618268941761,TAYLOR ST NE,38.94073005002248,-76.97443472150674,9358.33
TAYLOR ST NE,38.94073005002248,-76.97443472150674,TAYLOR ST NE,38.940735511309086,-76.9913459996596,1.99
TAYLOR ST NE,38.940735511309086,-76.9913459996596,TUCKERMAN ST NE,38.96734738214274,-77.00683140514344,9692.61
TUCKERMAN ST NE,38.96734738214274,-77.00683140514344,UNDERWOOD ST NE,38.96822754243163,-77.00812390937531,320.57
UNDERWOOD ST NE,38.96822754243163,-77.00812390937531,UPSHUR ST NE,38.94179876113851,-76.97694928702676,9625.92
UPSHUR ST NE,38.94179876113851,-76.97694928702676,UPSHUR ST NE,38.94180276038019,-76.99014620073876,1.46
UPSHUR ST NE,38.94180276038019,-76.99014620073876,VARNUM ST NE,38.94287279763324,-77.00431506836078,389.73
VARNUM ST NE,38.94287279763324,-77.00431506836078,VARNUM ST NE,38.94282602657138,-76.99046357918428,17.03
VARNUM ST NE,38.94282602657138,-76.99046357918428,VARNUM ST NE,38.9425794764775,-76.99667892924181,89.8
VARNUM ST NE,38.9425794764775,-76.99667892924181,VARNUM ST NE,38.94289831260083,-76.97701359792396,116.13
VARNUM ST NE,38.94289831260083,-76.97701359792396,VICTOR ST NE,38.94352766677282,-77.00567750152597,229.22
VICTOR ST NE,38.94352766677282,-77.00567750152597,WEBSTER ST NE,38.94424133531485,-76.98279999470628,259.93
WEBSTER ST NE,38.94424133531485,-76.98279999470628,WYLIE ST NE,38.900767773239494,-76.98927794688618,15833.91
C ST NW,38.89359828702513,-77.01757805088884,C ST NW,38.89356394685766,-77.01210835503497,12.51
C ST NW,38.89356394685766,-77.01210835503497,C ST NW,38.89353609186995,-77.04147352721017,10.15
C ST NW,38.89353609186995,-77.04147352721017,C ST NW,38.89352699551331,-77.04706759757757,3.31
C ST NW,38.89352699551331,-77.04706759757757,D ST NW,38.894640972523405,-77.03137670344255,405.73
D ST NW,38.894640972523405,-77.03137670344255,D ST NW,38.89480224944835,-77.02145555344205,58.74
