StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
22ND ST NE,38.93648938182967,-76.97417832033852,24TH ST NE,38.91408558158455,-76.97216578058226,572.49
24TH ST NE,38.91408558158455,-76.97216578058226,24TH ST NE,38.9336269940285,-76.97216545967366,0.09
24TH ST NE,38.9336269940285,-76.97216545967366,24TH ST NE,38.899562170861316,-76.97234112948126,49.97
24TH ST NE,38.899562170861316,-76.97234112948126,24TH ST NE,38.92406110220214,-76.97220354228732,39.16
24TH ST NE,38.92406110220214,-76.97220354228732,25TH ST NE,38.92801301121311,-76.97115196864507,299.18
25TH ST NE,38.92801301121311,-76.97115196864507,26TH ST NE,38.90064260100554,-76.97024345370659,258.47
26TH ST NE,38.90064260100554,-76.97024345370659,26TH ST NE,38.92722861122139,-76.97014501576237,28.02
26TH ST NE,38.92722861122139,-76.97014501576237,26TH ST NE,38.93545620863411,-76.97013966089236,1.52
26TH ST NE,38.93545620863411,-76.97013966089236,27TH ST NE,38.92680186822701,-76.9690027717094,323.41
27TH ST NE,38.92680186822701,-76.9690027717094,28TH ST NE,38.93902164535489,-76.96814420318519,244.26
28TH ST NE,38.93902164535489,-76.96814420318519,28TH ST NE,38.93402139073671,-76.96815487661762,3.04
28TH ST NE,38.93402139073671,-76.96815487661762,28TH ST NE,38.92416954338966,-76.96806261868478,26.24
28TH ST NE,38.92416954338966,-76.96806261868478,31ST ST NE,38.92146980713871,-76.9637028677419,1240.39
31ST ST NE,38.92146980713871,-76.9637028677419,33RD ST NE,38.91908725609171,-76.96135816215988,667.12
33RD ST NE,38.91908725609171,-76.96135816215988,34TH ST NE,38.894270980560336,-76.95750705500235,1095.76
34TH ST NE,38.894270980560336,-76.95750705500235,35TH ST NE,38.89417258876006,-76.955703568032,513.33
35TH ST NE,38.89417258876006,-76.955703568032,36TH ST NE,38.89500888042705,-76.95480727238072,255.11
36TH ST NE,38.89500888042705,-76.95480727238072,40TH ST NE,38.905846671233824,-76.94635532259592,2405.65
40TH ST NE,38.905846671233824,-76.94635532259592,41ST ST NE,38.89082189921979,-76.94456150985359,510.49
41ST ST NE,38.89082189921979,-76.94456150985359,41ST ST NE,38.8930512897948,-76.94456667769798,1.47
41ST ST NE,38.8930512897948,-76.94456667769798,42ND ST NE,38.90504832655517,-76.94340702679649,330.08
42ND ST NE,38.90504832655517,-76.94340702679649,42ND ST NE,38.895717259381954,-76.94260597254382,227.97
42ND ST NE,38.895717259381954,-76.94260597254382,44TH ST NE,38.90762578814773,-76.94027665526828,662.98
44TH ST NE,38.90762578814773,-76.94027665526828,44TH ST NE,38.89836932381843,-76.93913772235997,324.11
44TH ST NE,38.89836932381843,-76.93913772235997,45TH ST NE,38.891894013398755,-76.93778487963279,385.04
45TH ST NE,38.891894013398755,-76.93778487963279,45TH ST NE,38.8960833983915,-76.93775376214425,8.86
45TH ST NE,38.8960833983915,-76.93775376214425,46TH ST NE,38.902999772063346,-76.93641044477064,382.34
46TH ST NE,38.902999772063346,-76.93641044477064,46TH ST NE,38.89164128411659,-76.93679506611456,109.46
46TH ST NE,38.89164128411659,-76.93679506611456,46TH ST NE,38.897916583003024,-76.93659687754361,56.41
46TH ST NE,38.897916583003024,-76.93659687754361,46TH ST NE,38.89915468677247,-76.93659024824858,1.89
46TH ST NE,38.89915468677247,-76.93659024824858,47TH ST NE,38.90215468178427,-76.93563043799853,273.17
47TH ST NE,38.90215468178427,-76.93563043799853,47TH ST NE,38.90415597975603,-76.93541034531695,62.64
47TH ST NE,38.90415597975603,-76.93541034531695,47TH ST NE,38.893613847023836,-76.9349345097382,135.42
47TH ST NE,38.893613847023836,-76.9349345097382,48TH ST NE,38.903612766741354,-76.93375998243488,334.31
48TH ST NE,38.903612766741354,-76.93375998243488,49TH ST NE,38.8990677492467,-76.93221478292794,439.75
